Cluster ID,confidence_score,Id,Name,Address,Zip,Phone,Fax,Program Name,Length of Day,IDHS Provider ID,Agency,Neighborhood,Funded Enrollment,Program Option,Number per Site EHS,Number per Site HS,Director,Head Start Fund,Eearly Head Start Fund,CC fund,Progmod,Website,Executive Director,Center Director,ECE Available Programs,NAEYC Valid Until,NAEYC Program Id,Email Address,Ounce of Prevention Description,Purple binder service type,Column,Column2,canonical_Progmod,canonical_Phone,canonical_Center Director,canonical_Name,canonical_Number per Site EHS,canonical_Address,canonical_Agency,canonical_Column,canonical_IDHS Provider ID,canonical_Fax,canonical_Neighborhood,canonical_Email Address,canonical_Ounce of Prevention Description,canonical_Eearly Head Start Fund,canonical_Program Option,canonical_NAEYC Valid Until,canonical_ECE Available Programs,canonical_Id,canonical_NAEYC Program Id,canonical_Website,canonical_CC fund,canonical_Number per Site HS,canonical_Column2,canonical_Head Start Fund,canonical_Funded Enrollment,canonical_Zip,canonical_Length of Day,canonical_Purple binder service type,canonical_Director,canonical_Executive Director,canonical_Program Name
9,0.999821037054,17,Bethel New Life - Molade Child Development Center,1120 N Lamon Ave,,6267760,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'6267760',b'',b'bethel new life - molade child development center',b'',b'1120 n lamon ave',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'17',b'',b'',b'',b'',b'',b'',b'',b'',"b'8-11 hours, varies by facility'",b'',b'',b'',b'community partnerships'
96,,18,South East Asia Center - South-East Asia Center(Ainslie),1124 W Ainslie St,,9897433,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.999759197235,19,Ada S. McKinley Community Services - McKinley - Roseland,11410 S Edbrooke Ave,,4681918,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'4681918',b'',b'ada s. mckinley community services - mckinley - roseland',b'',b'11410 s edbrooke ave',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'233',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b'',b'child care'
10,0.999759197235,20,Ada S. McKinley Community Services - McKinley - Roseland,11410 S Edbrooke Ave,,4681918,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'4681918',b'',b'ada s. mckinley community services - mckinley - roseland',b'',b'11410 s edbrooke ave',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'233',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b'',b'child care'
11,0.999981,21,Board Trustees-City Colleges of Chicago - Truman,1145 W Wilson Ave,,8781700,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'8781700',b'',b'board trustees-city colleges of chicago - truman',b'',b'1145 w wilson ave',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'21',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b'',b'child care'
12,0.999980866909,22,Chicago State University - Gingerbread House,11640 S Wentworth Ave,,9284041,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'9284041',b'',b'chicago state university - gingerbread house',b'',b'11640 s wentworth ave',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'23',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b'',b'child care'
12,0.999980866909,23,Chicago State University - Gingerbread House,11640 S Wentworth Ave,,9284041,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'9284041',b'',b'chicago state university - gingerbread house',b'',b'11640 s wentworth ave',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'23',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b'',b'child care'
13,0.999980866909,24,Chicago State University - Academy of Early Education,124 E 113th St,,7858163,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'7858163',b'',b'chicago state university - academy of early education',b'',b'124 e 113th st',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'24',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b'',b'child care'
13,0.999980866909,25,Chicago State University - Academy of Early Education,124 E 113th St,,7858163,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'7858163',b'',b'chicago state university - academy of early education',b'',b'124 e 113th st',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'24',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b'',b'child care'
14,0.999981,26,Easter Seals Society of Metropolitan Chicago - Stepping Stones Early/Childhood Lear,1300 E 75th St,,4930000,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'4930000',b'',b'easter seals society of metropolitan chicago - stepping stones early/childhood lear',b'',b'1300 e 75th st',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'26',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b'',b'child care'
15,0.999980866909,27,Marcy Newberry Association - FOSCO ABLA Center,1312 S Racine Ave,,7466024,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'7466024',b'',b'marcy newberry association - fosco abla center',b'',b'1312 s racine ave',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'28',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b'',b'early head start'
15,0.999980866909,28,Marcy Newberry Association - FOSCO ABLA Center,1312 S Racine Ave,,7466024,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'7466024',b'',b'marcy newberry association - fosco abla center',b'',b'1312 s racine ave',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'28',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b'',b'early head start'
16,0.999981,29,Salvation Army - Incarnation / Salvation Army,1345 N Karlov Ave,,2764118,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'2764118',b'',b'salvation army - incarnation / salvation army',b'',b'1345 n karlov ave',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'29',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b'',b'child care'
17,0.999926418066,30,Abraham Lincoln Centre - Hope Presbyterian Church,1354 W 61st St,,4715100,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'4715100',b'',b'abraham lincoln centre - hope presbyterian church',b'',b'1354 w 61st st',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'30',b'',b'',b'',b'',b'',b'',b'',b'',"b'8-11 hours, varies by facility'",b'',b'',b'',b'community partnerships'
18,0.999980866909,31,Catholic Charities of the Archdiocese of Chicago - Our Lady of Lourdes,1449 S Keeler Ave,,5213126,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'5213126',b'',b'catholic charities of the archdiocese of chicago - our lady of lourdes',b'',b'1449 s keeler ave',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'570',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b'',b'child care'
18,0.999980866909,32,Catholic Charities of the Archdiocese of Chicago - Our Lady of Lourdes,1449 S Keeler Ave,,5213126,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'5213126',b'',b'catholic charities of the archdiocese of chicago - our lady of lourdes',b'',b'1449 s keeler ave',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'570',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b'',b'child care'
19,0.999169260263,33,Lutheran Social Services of Illinois - North Austin / LSSI,1500 N Mason Ave,,2371930,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'2371930',b'',b'lutheran social services of illinois - north austin / lssi',b'',b'1500 n mason ave',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'33',b'',b'',b'',b'',b'',b'',b'',b'',"b'8-11 hours, varies by facility'",b'',b'',b'',b'community partnerships'
20,0.999981,34,Marcy Newberry Association - New Birth,1500 W 69th St,,4710699,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'4710699',b'',b'marcy newberry association - new birth',b'',b'1500 w 69th st',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'34',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b'',b'child care'
21,0.999981,35,Chicago Youth Centers - Mt. Moriah-Taylor / CYC,1501 N Harding Ave,,2785837,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'2785837',b'',b'chicago youth centers - mt. moriah-taylor / cyc',b'',b'1501 n harding ave',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'35',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b'',b'child care'
22,0.999980866909,36,Marcy Newberry Association - Marcy Center,1539 S Springfield Ave,,7612300,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'7612300',b'',b'marcy newberry association - marcy center',b'',b'1539 s springfield ave',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'37',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b'',b'child care'
22,0.999980866909,37,Marcy Newberry Association - Marcy Center,1539 S Springfield Ave,,7612300,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'7612300',b'',b'marcy newberry association - marcy center',b'',b'1539 s springfield ave',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'37',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b'',b'child care'
23,0.999282896519,38,Mary Crane League - Mary Crane - Morse,1545 W Morse Ave,,2621390,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'2621390',b'',b'mary crane league - mary crane - morse',b'',b'1545 w morse ave',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'38',b'',b'',b'',b'',b'',b'',b'',b'',"b'8-11 hours, varies by facility'",b'',b'',b'',b'community partnerships'
24,0.999981,39,South Shore Bible - Maranatha,1631 E 71st St,,4937500,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'4937500',b'',b'south shore bible - maranatha',b'',b'1631 e 71st st',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'39',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b'',b'child care'
25,0.999418059985,40,Chicago Commons Association - Taylor Center for New Experiences,1633 N Hamlin Ave,,2278551,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'2278551',b'',b'chicago commons association - taylor center for new experiences',b'',b'1633 n hamlin ave',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'482',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b'',b'head start'
26,0.999981,41,Catholic Charities of the Archdiocese of Chicago - Ebenezer,1652 W Foster Ave,,8789925,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'8789925',b'',b'catholic charities of the archdiocese of chicago - ebenezer',b'',b'1652 w foster ave',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'41',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b'',b'child care'
27,0.999981,42,Chicago Commons Association - Paulo Freire,1653 W 43rd St,,8262669,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'8262669',b'',b'chicago commons association - paulo freire',b'',b'1653 w 43rd st',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'42',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b'',b'child care'
28,0.999954342842,43,Erie Neighborhood House - Erie Community Center,1701 W Superior St,,5635800,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'5635800',b'',b'erie neighborhood house - erie community center',b'',b'1701 w superior st',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'483',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b'',b'head start'
29,0.999980866909,44,El Valor - Little Tykes I,1711 W 35th St,,2547700,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'2547700',b'',b'el valor - little tykes i',b'',b'1711 w 35th st',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'591',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b'',b'child care'
29,0.999980866909,45,El Valor - Little Tykes I,1711 W 35th St,,2547700,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'2547700',b'',b'el valor - little tykes i',b'',b'1711 w 35th st',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'591',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b'',b'child care'
97,,46,ChildServ - Pilsen,1711 W Garfield Blvd,,,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.999980866909,47,El Hogar del Nino/Cuidar - El Hogar del Nino/El Centro - Loomis,1718 S Loomis Blvd,,5639796,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'5639796',b'',b'el hogar del nino/cuidar - el hogar del nino/el centro - loomis',b'',b'1718 s loomis blvd',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'593',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b'',b'child care'
30,0.999980866909,48,El Hogar del Nino/Cuidar - El Hogar del Nino/El Centro - Loomis,1718 S Loomis Blvd,,5639796,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'5639796',b'',b'el hogar del nino/cuidar - el hogar del nino/el centro - loomis',b'',b'1718 s loomis blvd',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'593',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b'',b'child care'
31,0.999980866909,49,El Valor - Little Tykes II,1723 W 35th St,,5791791,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'5791791',b'',b'el valor - little tykes ii',b'',b'1723 w 35th st',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'595',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b'',b'child care'
31,0.999980866909,50,El Valor - Little Tykes II,1723 W 35th St,,5791791,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'5791791',b'',b'el valor - little tykes ii',b'',b'1723 w 35th st',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'595',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b'',b'child care'
32,0.999981,51,Church of God True Believers - Church of God Day Care,1738 W Marquette Rd,,4715222,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'4715222',b'',b'church of god true believers - church of god day care',b'',b'1738 w marquette rd',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'51',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b'',b'child care'
33,0.999981,52,Lutheran Social Services of Illinois - Rogers Park / LSSI,1754 W Devon Ave,,2623366,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'2623366',b'',b'lutheran social services of illinois - rogers park / lssi',b'',b'1754 w devon ave',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'52',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b'',b'child care'
34,0.999435082078,53,Chicago Commons Association - Guadalupano Family Center,1814 S Paulina St,,6663883,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'6663883',b'',b'chicago commons association - guadalupano family center',b'',b'1814 s paulina st',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'600',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b'',b'child care'
34,0.999435082078,54,Chicago Commons Association - Guadalupano Family Center,1814 S Paulina St,,6663883,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'6663883',b'',b'chicago commons association - guadalupano family center',b'',b'1814 s paulina st',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'600',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b'',b'child care'
35,0.783172369003,55,YMCA of Metropolitan Chicago - McCormick Tribune- YMCA,1834 N Lawndale Ave,,2352525,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'2352525',b'',b'ymca of metropolitan chicago - mccormick tribune- ymca',b'',b'1834 n lawndale ave',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'55',b'',b'',b'',b'',b'',b'',b'',b'',"b'8-11 hours, varies by facility'",b'',b'',b'',b'community partnerships'
36,0.999980866909,56,Board Trustees-City Colleges of Chicago - Malcolm X College,1900 W Van Buren St,,8507000,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'8507000',b'',b'board trustees-city colleges of chicago - malcolm x college',b'',b'1900 w van buren st',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'607',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b'',b'child care'
36,0.999980866909,57,Board Trustees-City Colleges of Chicago - Malcolm X College,1900 W Van Buren St,,8507000,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'8507000',b'',b'board trustees-city colleges of chicago - malcolm x college',b'',b'1900 w van buren st',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'607',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b'',b'child care'
38,0.999621376395,58,El Valor - Guadalupe Reyes Children & Family Center,1951 W 19th St,,9972021,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'9972021',b'',b'el valor - guadalupe reyes children & family center',b'',b'1951 w 19th st',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'614',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b'',b'child care'
38,0.999621376395,59,El Valor - Guadalupe Reyes Children & Family Center,1951 W 19th St,,9972021,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'9972021',b'',b'el valor - guadalupe reyes children & family center',b'',b'1951 w 19th st',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'614',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b'',b'child care'
39,0.999949256579,60,North Avenue Day Nursery - North Avenue Day Nursery,2001 W Pierce Ave,,3424499,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'3424499',b'',b'north avenue day nursery - north avenue day nursery',b'',b'2001 w pierce ave',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'60',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b'',b'head start'
