Cluster ID,confidence_score,Id,Source,Site name,Address,Zip,Phone,Fax,Program Name,Length of Day,IDHS Provider ID,Agency,Neighborhood,Funded Enrollment,Program Option,Number per Site EHS,Number per Site HS,Director,Head Start Fund,Eearly Head Start Fund,CC fund,Progmod,Website,Executive Director,Center Director,ECE Available Programs,NAEYC Valid Until,NAEYC Program Id,Email Address,Ounce of Prevention Description,Purple binder service type,Column,Column2,canonical_Ounce of Prevention Description,canonical_Fax,canonical_Website,canonical_Center Director,canonical_Head Start Fund,canonical_Number per Site EHS,canonical_Neighborhood,canonical_NAEYC Program Id,canonical_Phone,canonical_Length of Day,canonical_Progmod,canonical_NAEYC Valid Until,canonical_CC fund,canonical_Source,canonical_Id,canonical_Number per Site HS,canonical_Program Name,canonical_Address,canonical_Email Address,canonical_IDHS Provider ID,canonical_Column2,canonical_Purple binder service type,canonical_Director,canonical_Column,canonical_Program Option,canonical_Funded Enrollment,canonical_Agency,canonical_Zip,canonical_Site name,canonical_Eearly Head Start Fund,canonical_ECE Available Programs,canonical_Executive Director
9,0.979143977165,10,CPS_Early_Childhood_Portal_scrape.csv, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'',b'',b'',b'',b'',b'9068600',b'extended day',b'',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'478',b'',b'child care',b'1030 w van buren st',b'',b'',b'child care',b'',b'',b'',b'',b'',b'',b'60657',b'hull house association - child dev. central office- hull house cds-homes',b'',b'',b''
10,0.968617231505,11,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - St. Kevin,10509 S Torrence Ave ,,3746466,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'yes',b'www.catholiccharities.net',b'',b'',b'',b'',b'2775888',b'half day/full day',b'no',b'virginia carrillo',b'yes',b'cps_early_childhood_portal_scrape.csv',b'14',b'',b'child care',b'10509 s torrence avenue',b'',b'',b'child care',b'',b'',b'',b'north lawndale',b'catholic charities of the archdiocese of chicago',b'',b'60629',b'catholic charities of the archdiocese of chicago - st. kevin',b'virginia carrillo',b'laura rios',b'7040ps(hs collaboration with childcare)'
10,0.968617231505,12,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - St. Kevin,10509 S Torrence Ave ,,3746466,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'yes',b'www.catholiccharities.net',b'',b'',b'',b'',b'2775888',b'half day/full day',b'no',b'virginia carrillo',b'yes',b'cps_early_childhood_portal_scrape.csv',b'14',b'',b'child care',b'10509 s torrence avenue',b'',b'',b'child care',b'',b'',b'',b'north lawndale',b'catholic charities of the archdiocese of chicago',b'',b'60629',b'catholic charities of the archdiocese of chicago - st. kevin',b'virginia carrillo',b'laura rios',b'7040ps(hs collaboration with childcare)'
12,0.934042870998,13,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Community Learning Center,10612 S Wentworth ,,,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'no',b'www.gamechicago.org',b'',b'',b'',b'',b'7520243',b'extended day',b'no',b'burchell love',b'yes',b'dfss_agencysitelies_2012.csv',b'13',b'',b'child care',b'228 e 61st st',b'',b'',b'',b'',b'',b'',b'washington park',b'chicago state university',b'',b'60637',b'chicago state university the love learning center',b'burchell love',b'grace ratliff',b''
10,0.968681195804,14,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Cordia Marian,1100 S May St ,,6663787,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'yes',b'www.catholiccharities.net',b'',b'',b'',b'',b'2775888',b'half day/full day',b'no',b'virginia carrillo',b'yes',b'cps_early_childhood_portal_scrape.csv',b'14',b'',b'child care',b'10509 s torrence avenue',b'',b'',b'child care',b'',b'',b'',b'north lawndale',b'catholic charities of the archdiocese of chicago',b'',b'60629',b'catholic charities of the archdiocese of chicago - st. kevin',b'virginia carrillo',b'laura rios',b'7040ps(hs collaboration with childcare)'
10,0.968681195804,15,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Cordia Marian,1100 S May St ,,6663787,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'yes',b'www.catholiccharities.net',b'',b'',b'',b'',b'2775888',b'half day/full day',b'no',b'virginia carrillo',b'yes',b'cps_early_childhood_portal_scrape.csv',b'14',b'',b'child care',b'10509 s torrence avenue',b'',b'',b'child care',b'',b'',b'',b'north lawndale',b'catholic charities of the archdiocese of chicago',b'',b'60629',b'catholic charities of the archdiocese of chicago - st. kevin',b'virginia carrillo',b'laura rios',b'7040ps(hs collaboration with childcare)'
15,0.734508663416,16,CPS_Early_Childhood_Portal_scrape.csv, Thresholds - Thresholds Mothers' Project,1110 W Belmont Ave ,,4723558,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'',b'',b'',b'lake view',b'',b'4723558',b'extended day',b'',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'2812',b'',b'child care',b'1110 w. belmont',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'60657',"b""thresholds mothers' project""",b'',b'cp',b''
16,0.981955623627,17,CPS_Early_Childhood_Portal_scrape.csv, Bethel New Life - Molade Child Development Center,1120 N Lamon Ave ,,6267760,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'',b'',b'',b'austin',b'',b'6267760',b'half day/full day',b'',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'329',b'',b'child care',b'1120 n lamon ave',b'',b'',b'child care',b'',b'',b'',b'',b'',b'',b'60651',b'bethel new life',b'',b'cp',b''
17,0.950983539224,18,CPS_Early_Childhood_Portal_scrape.csv, South East Asia Center - South-East Asia Center(Ainslie),1124 W Ainslie St ,,9897433,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'yes',b'www.se-asiacenter.org',b'',b'',b'uptown',b'',b'9897433',b'part day/full day',b'no',b'tsering ngalutsang',b'no',b'cps_early_childhood_portal_scrape.csv',b'18',b'',b'state pre-kindergarten',b'1124 w ainslie st',b'',b'',b'child care',b'',b'',b'',b'edgewater',b'south east asia center',b'',b'60640',b'south east asia center',b'tsering ngalutsang',b'peter porr',b'4127sa(school age (sa))'
18,0.984590279019,19,CPS_Early_Childhood_Portal_scrape.csv, Ada S. McKinley Community Services - McKinley - Roseland,11410 S Edbrooke Ave ,,4681918,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'yes',b'www.adasmckinley.org',b'',b'',b'',b'',b'4681918',b'half day/full day',b'no',b'lyris clark',b'yes',b'cps_early_childhood_portal_scrape.csv',b'19',b'',b'state pre-kindergarten',b'4301 s wabash',b'',b'',b'child care',b'',b'',b'',b'grand boulevard',b'ada s. mckinley community services',b'',b'60619',b'ada s. mckinley community services',b'dr. jones',"b'george jones, jr.'","b'4355it(child care it center), 4355sa(school age (sa)), 4355p'"
18,0.984590279019,20,CPS_Early_Childhood_Portal_scrape.csv, Ada S. McKinley Community Services - McKinley - Roseland,11410 S Edbrooke Ave ,,4681918,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'yes',b'www.adasmckinley.org',b'',b'',b'',b'',b'4681918',b'half day/full day',b'no',b'lyris clark',b'yes',b'cps_early_childhood_portal_scrape.csv',b'19',b'',b'state pre-kindergarten',b'4301 s wabash',b'',b'',b'child care',b'',b'',b'',b'grand boulevard',b'ada s. mckinley community services',b'',b'60619',b'ada s. mckinley community services',b'dr. jones',"b'george jones, jr.'","b'4355it(child care it center), 4355sa(school age (sa)), 4355p'"
3,0.991826424996,21,CPS_Early_Childhood_Portal_scrape.csv, Board Trustees-City Colleges of Chicago - Truman,1145 W Wilson Ave ,,8781700,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'',b'',b'',b'',b'',b'8507000',b'half day/full day',b'',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'5',b'',b'head start',b'10001 s woodlawn ave',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'board trustees-city colleges of chicago - truman',b'',b'',b''
19,0.983482432365,22,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Gingerbread House,11640 S Wentworth Ave ,,9284041,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'',b'',b'',b'roseland',b'',b'9284041',b'extended day',b'',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'23',b'',b'child care',b'11640 s wentworth ave',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'60628',b'chicago state university - gingerbread house',b'',b'cp',b''
19,0.983482432365,23,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Gingerbread House,11640 S Wentworth Ave ,,9284041,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'',b'',b'',b'roseland',b'',b'9284041',b'extended day',b'',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'23',b'',b'child care',b'11640 s wentworth ave',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'60628',b'chicago state university - gingerbread house',b'',b'cp',b''
20,0.973556339741,24,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Academy of Early Education,124 E 113th St ,,7858163,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'',b'',b'',b'',b'',b'7858163',b'extended day',b'',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'24',b'',b'child care',b'124 e 113th st',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'chicago state university - academy of early education',b'',b'',b''
20,0.973556339741,25,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Academy of Early Education,124 E 113th St ,,7858163,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'',b'',b'',b'',b'',b'7858163',b'extended day',b'',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'24',b'',b'child care',b'124 e 113th st',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'chicago state university - academy of early education',b'',b'',b''
25,0.942022959391,26,CPS_Early_Childhood_Portal_scrape.csv, Easter Seals Society of Metropolitan Chicago - Stepping Stones Early/Childhood Lear,1300 E 75th St ,,4930000,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'no',b'www.easterseaslchicago.org',b'',b'',b'',b'',b'4930000',b'extended day',b'no',b'ms.gloria granberry',b'yes',b'cps_early_childhood_portal_scrape.csv',b'26',b'',b'head start',b'2501 w 71st st',b'',b'',b'',b'',b'',b'',b'austin',b'easter seals society of metropolitan chicago',b'',b'60624',b'easter seals society of metropolitan chicago little giants',b'ms. granberry',b'barbara zawacki',b''
26,0.973556339741,27,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - FOSCO ABLA Center,1312 S Racine Ave ,,7466024,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'',b'',b'',b'',b'',b'7466024',b'half day/full day',b'',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'28',b'',b'state pre-kindergarten',b'1312 s racine ave',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'marcy newberry association - fosco abla center',b'',b'',b''
26,0.973556339741,28,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - FOSCO ABLA Center,1312 S Racine Ave ,,7466024,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'',b'',b'',b'',b'',b'7466024',b'half day/full day',b'',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'28',b'',b'state pre-kindergarten',b'1312 s racine ave',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'marcy newberry association - fosco abla center',b'',b'',b''
1,0.943547067046,29,CPS_Early_Childhood_Portal_scrape.csv, Salvation Army - Incarnation / Salvation Army,1345 N Karlov Ave ,,2764118,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'no',b'www.usc.salvationarmy.com',b'',b'',b'west englewood',b'',b'2262649',b'half day/full day',b'no',b'lillie denton',b'yes',b'cps_early_childhood_portal_scrape.csv',b'1',b'',b'head start',b'845 w 69th st',b'',b'',b'',b'',b'',b'',b'englewood',b'salvation army',b'',b'60621',b'salvation army - temple / salvation army',b'kelli kemp',b'claudia rowland',b'4121it(ehs)'
27,0.988612818718,30,CPS_Early_Childhood_Portal_scrape.csv, Abraham Lincoln Centre - Hope Presbyterian Church,1354 W 61st St ,,4715100,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'',b'',b'',b'',b'',b'4715100',b'half day/full day',b'',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'30',b'',b'state pre-kindergarten',b'1354 w 61st st',b'',b'',b'child care',b'',b'',b'',b'',b'',b'',b'60621',b'abraham lincoln centre - hope presbyterian church',b'',b'',b''
28,0.858657369488,31,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Our Lady of Lourdes,1449 S Keeler Ave ,,5213126,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'yes',b'www.catholiccharities.net',b'',b'',b'',b'',b'5213126',"b'8-11 hours, varies by facility'",b'no',b'petra gutierrez',b'yes',b'cps_early_childhood_portal_scrape.csv',b'32',b'',b'community partnerships',b'1449 s keeler ave',b'',b'',b'',b'',b'',b'',b'south lawndale',b'catholic charities of the archdiocese of chicago',b'',b'60623',b'catholic charities of the archdiocese of chicago - our lady of lourdes',b'petra gutierrez',b'laura rios',"b'2617sa(school age (sa)), 4382ps(hs collaboration with childc'"
28,0.858657369488,32,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Our Lady of Lourdes,1449 S Keeler Ave ,,5213126,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'yes',b'www.catholiccharities.net',b'',b'',b'',b'',b'5213126',"b'8-11 hours, varies by facility'",b'no',b'petra gutierrez',b'yes',b'cps_early_childhood_portal_scrape.csv',b'32',b'',b'community partnerships',b'1449 s keeler ave',b'',b'',b'',b'',b'',b'',b'south lawndale',b'catholic charities of the archdiocese of chicago',b'',b'60623',b'catholic charities of the archdiocese of chicago - our lady of lourdes',b'petra gutierrez',b'laura rios',"b'2617sa(school age (sa)), 4382ps(hs collaboration with childc'"
29,0.956510034474,33,CPS_Early_Childhood_Portal_scrape.csv, Lutheran Social Services of Illinois - North Austin / LSSI,1500 N Mason Ave ,,2371930,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'no',b'www.lssi.org',b'',b'',b'',b'',b'2371930',b'half day/full day',b'no',b'doris holden',b'yes',b'cps_early_childhood_portal_scrape.csv',b'52',b'',b'head start',b'1500 n mason',b'',b'',b'',b'',b'',b'',b'austin',b'lutheran social services of illinois',b'',b'60651',b'lutheran social services of illinois rogers park',b'doris holden',b'john schnier',"b'4115it(child care it center), 7015ps(hs collaboration with c'"
30,0.973556,34,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - New Birth,1500 W 69th St ,,4710699,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'',b'',b'',b'',b'',b'4710699',b'extended day',b'',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'34',b'',b'child care',b'1500 w 69th st',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'marcy newberry association - new birth',b'',b'',b''
31,0.965664833784,35,CPS_Early_Childhood_Portal_scrape.csv, Chicago Youth Centers - Mt. Moriah-Taylor / CYC,1501 N Harding Ave ,,2785837,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'no',b'www.chicagoyouthcenters.org',b'',b'',b'',b'',b'2785837',b'extended day',b'no',b'elizabeth heilbronn',b'yes',b'cps_early_childhood_portal_scrape.csv',b'35',b'',b'child care',b'1501 n harding',b'',b'',b'child care',b'',b'',b'',b'humboldt park',b'chicago youth centers',b'',b'60651',b'chicago youth centers - mt. moriah-taylor',b'elizabeth heilbronn',b'harry wells',b'7065ps(hs collaboration with childcare & prek)'
32,0.982598078251,36,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - Marcy Center,1539 S Springfield Ave ,,7612300,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'no',b'www.marcy-newberry.org',b'',b'',b'',b'',b'7612300',b'half day/full day',b'yes',b'kimberly johnson',b'yes',b'cps_early_childhood_portal_scrape.csv',b'37',b'',b'state pre-kindergarten',b'1539 s springfield ave',b'',b'',b'early head start',b'',b'',b'',b'near west side',b'marcy newberry association',b'',b'60608',b'marcy newberry association',b'kimberly johnson',b'gertrude ricks',"b'4195it(child care it center), 7086ps (hs collaboration with'"
32,0.982598078251,37,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - Marcy Center,1539 S Springfield Ave ,,7612300,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'no',b'www.marcy-newberry.org',b'',b'',b'',b'',b'7612300',b'half day/full day',b'yes',b'kimberly johnson',b'yes',b'cps_early_childhood_portal_scrape.csv',b'37',b'',b'state pre-kindergarten',b'1539 s springfield ave',b'',b'',b'early head start',b'',b'',b'',b'near west side',b'marcy newberry association',b'',b'60608',b'marcy newberry association',b'kimberly johnson',b'gertrude ricks',"b'4195it(child care it center), 7086ps (hs collaboration with'"
35,0.988969445229,38,CPS_Early_Childhood_Portal_scrape.csv, Mary Crane League - Mary Crane - Morse,1545 W Morse Ave ,,2621390,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'(773) 325-2530',b'yes',b'www.marycrane.org',b'',b'',b'',b'',b'3485528',b'half day/full day',b'yes',b'martuice williams',b'yes',b'cps_early_childhood_portal_scrape.csv',b'38',b'',b'child care',b'2974 n clybourn ave',b'',b'9356-4723-5433-005',b'',b'',b'',b'',b'north center',b'mary crane league',b'',b'60618',b'mary crane league',b'jennifer jones',b'lavetter terry',"b'4145it(child care it center), 4236ps(hs collaboration with c'"
36,0.973556,39,CPS_Early_Childhood_Portal_scrape.csv, South Shore Bible - Maranatha,1631 E 71st St ,,4937500,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'',b'',b'',b'',b'',b'4937500',b'extended day',b'',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'39',b'',b'child care',b'1631 e 71st st',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'south shore bible - maranatha',b'',b'',b''
37,0.973556339741,40,CPS_Early_Childhood_Portal_scrape.csv, Chicago Commons Association - Taylor Center for New Experiences,1633 N Hamlin Ave ,,2278551,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'',b'',b'',b'',b'',b'2278551',b'extended day',b'',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'482',b'',b'head start',b'1633 n hamlin ave',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'chicago commons association - taylor center for new experiences',b'',b'',b''
10,0.966824441297,41,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Ebenezer,1652 W Foster Ave ,,8789925,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'yes',b'www.catholiccharities.net',b'',b'',b'',b'',b'2775888',b'half day/full day',b'no',b'virginia carrillo',b'yes',b'cps_early_childhood_portal_scrape.csv',b'14',b'',b'child care',b'10509 s torrence avenue',b'',b'',b'child care',b'',b'',b'',b'north lawndale',b'catholic charities of the archdiocese of chicago',b'',b'60629',b'catholic charities of the archdiocese of chicago - st. kevin',b'virginia carrillo',b'laura rios',b'7040ps(hs collaboration with childcare)'
