Cluster ID,confidence_score,Id,Source,Site name,Address,Zip,Phone,Fax,Program Name,Length of Day,IDHS Provider ID,Agency,Neighborhood,Funded Enrollment,Program Option,Number per Site EHS,Number per Site HS,Director,Head Start Fund,Eearly Head Start Fund,CC fund,Progmod,Website,Executive Director,Center Director,ECE Available Programs,NAEYC Valid Until,NAEYC Program Id,Email Address,Ounce of Prevention Description,Purple binder service type,Column,Column2,canonical_Website,canonical_Email Address,canonical_Number per Site EHS,canonical_Center Director,canonical_Head Start Fund,canonical_Progmod,canonical_Purple binder service type,canonical_Length of Day,canonical_NAEYC Program Id,canonical_Address,canonical_Site name,canonical_Ounce of Prevention Description,canonical_NAEYC Valid Until,canonical_Source,canonical_Director,canonical_Column2,canonical_Eearly Head Start Fund,canonical_IDHS Provider ID,canonical_Fax,canonical_Number per Site HS,canonical_Agency,canonical_Zip,canonical_Phone,canonical_Id,canonical_Funded Enrollment,canonical_Executive Director,canonical_Program Name,canonical_ECE Available Programs,canonical_CC fund,canonical_Column,canonical_Neighborhood,canonical_Program Option
48,0.889334842563,10,CPS_Early_Childhood_Portal_scrape.csv, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'no',b'',b'',b'',b'',b'no',b'',b'extended day',b'',b'1900 w van buren st',b'board trustees-city colleges of chicago - malcolm x college',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'ereyne weekes',b'',b'',b'',b'',b'60612',b'8507000',b'9',b'board trustees-city colleges of chicago',"b'7025ps (hs collaboration with childcare & prek), 4385ps(chil'",b'child care',b'',b'yes',b'',b'',b'near west side'
10,0.769773632288,11,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - St. Kevin,10509 S Torrence Ave ,,3746466,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'10509 s torrence ave',b'catholic charities of the archdiocese of chicago - st. kevin',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'child care',b'',b'',b'',b'',b'',b'60617',b'3746466',b'12',b'',b'',b'child care',b'',b'',b'',b'',b''
10,0.769773632288,12,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - St. Kevin,10509 S Torrence Ave ,,3746466,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'10509 s torrence ave',b'catholic charities of the archdiocese of chicago - st. kevin',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'child care',b'',b'',b'',b'',b'',b'60617',b'3746466',b'12',b'',b'',b'child care',b'',b'',b'',b'',b''
12,0.984121799469,13,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Community Learning Center,10612 S Wentworth ,,,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'no',b'',b'',b'',b'',b'no',b'',b'extended day',b'',b'10612 s wentworth',b'chicago state university - community learning center',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'wanda avery',b'',b'',b'',b'',b'60628',b'9284104',b'13',b'community learning center',b'',b'child care',b'',b'yes',b'',b'',b'roseland'
13,0.790765234402,14,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Cordia Marian,1100 S May St ,,6663787,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'1100 s may st',b'catholic charities of the archdiocese of chicago - cordia marian',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'child care',b'',b'',b'',b'',b'',b'60607',b'6663787',b'14',b'',b'',b'child care',b'cp',b'',b'',b'near west side',b''
13,0.790765234402,15,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Cordia Marian,1100 S May St ,,6663787,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'1100 s may st',b'catholic charities of the archdiocese of chicago - cordia marian',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'child care',b'',b'',b'',b'',b'',b'60607',b'6663787',b'14',b'',b'',b'child care',b'cp',b'',b'',b'near west side',b''
197,0.947355985641,16,CPS_Early_Childhood_Portal_scrape.csv, Thresholds - Thresholds Mothers' Project,1110 W Belmont Ave ,,4723558,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'1110 w belmont ave',"b""thresholds - thresholds mothers' project""",b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'child care',b'',b'',b'',b'',b'',b'60657',b'4723558',b'16',b'',b'',b'child care',b'',b'',b'',b'',b''
14,0.769713640213,17,CPS_Early_Childhood_Portal_scrape.csv, Bethel New Life - Molade Child Development Center,1120 N Lamon Ave ,,6267760,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'',b'',b'',b'',b'half day/full day',b'',b'1120 n lamon ave',b'bethel new life - molade child development center',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'child care',b'',b'',b'',b'',b'',b'60651',b'6267760',b'17',b'',b'',b'state pre-kindergarten',b'',b'',b'',b'',b''
15,0.675827905536,18,CPS_Early_Childhood_Portal_scrape.csv, South East Asia Center - South-East Asia Center(Ainslie),1124 W Ainslie St ,,9897433,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'yes',b'',b'',b'',b'',b'no',b'',b'part day/full day',b'',b'1124 w ainslie st',b'south east asia center - south-east asia center(ainslie)',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'child care',b'fe mendoza',b'',b'',b'',b'',b'60640',b'9897433',b'18',b'south east asia center',"b'7139it(child care it center), 7139ps (child care ps center &'",b'state pre-kindergarten',b'',b'no',b'',b'',b'uptown'
17,0.746831229755,19,CPS_Early_Childhood_Portal_scrape.csv, Ada S. McKinley Community Services - McKinley - Roseland,11410 S Edbrooke Ave ,,4681918,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'no',b'',b'',b'',b'',b'no',b'',b'half day/full day',b'',b'11410 s edbrooke ave',b'ada s. mckinley community services - mckinley - roseland',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'child care',b'anna luna',b'',b'',b'',b'',b'60628',b'4681918',b'1235',b'ada s. mckinley community services',b'7021ps(hs collaboration with childcare)',b'state pre-kindergarten',b'',b'yes',b'',b'',b'roseland'
17,0.746831229755,20,CPS_Early_Childhood_Portal_scrape.csv, Ada S. McKinley Community Services - McKinley - Roseland,11410 S Edbrooke Ave ,,4681918,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'no',b'',b'',b'',b'',b'no',b'',b'half day/full day',b'',b'11410 s edbrooke ave',b'ada s. mckinley community services - mckinley - roseland',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'child care',b'anna luna',b'',b'',b'',b'',b'60628',b'4681918',b'1235',b'ada s. mckinley community services',b'7021ps(hs collaboration with childcare)',b'state pre-kindergarten',b'',b'yes',b'',b'',b'roseland'
19,0.796189233661,21,CPS_Early_Childhood_Portal_scrape.csv, Board Trustees-City Colleges of Chicago - Truman,1145 W Wilson Ave ,,8781700,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'no',b'',b'',b'www.ccc.edu',b'',b'no',b'',b'extended day',b'',b'1145 w wilson ave',b'board trustees-city colleges of chicago truman college',b'',b'dexter smith',b'cps_early_childhood_portal_scrape.csv',b'',b'child care',b'judi gibian-mennenga',b'',b'',b'',b'',b'60640',b'8784740',b'21',b'board trustees-city colleges of chicago',"b'7099ps(hs collaboration with childcare & prek), 4386ps(child'",b'child care',b'phyllis daniels-ward',b'yes',b'',b'',b'uptown'
20,0.712758362293,22,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Gingerbread House,11640 S Wentworth Ave ,,9284041,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'11640 s wentworth ave',b'chicago state university - gingerbread house',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'',b'',b'',b'',b'',b'',b'9284041',b'23',b'',b'',b'child care',b'',b'',b'',b'',b''
20,0.712758362293,23,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Gingerbread House,11640 S Wentworth Ave ,,9284041,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'11640 s wentworth ave',b'chicago state university - gingerbread house',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'',b'',b'',b'',b'',b'',b'9284041',b'23',b'',b'',b'child care',b'',b'',b'',b'',b''
21,0.731913477182,24,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Academy of Early Education,124 E 113th St ,,7858163,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'yes',b'',b'',b'',b'',b'yes',b'',b'extended day',b'',b'124 e 113th st',b'chicago state university - academy of early education',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'',b'',b'',b'',b'',b'60628',b'7858163',b'24',b'chicago state university',"b'4138ps(child care ps center), 4134ps(hs collaboration with c'",b'child care',b'',b'yes',b'',b'',b'roseland'
21,0.731913477182,25,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Academy of Early Education,124 E 113th St ,,7858163,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'yes',b'',b'',b'',b'',b'yes',b'',b'extended day',b'',b'124 e 113th st',b'chicago state university - academy of early education',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'',b'',b'',b'',b'',b'60628',b'7858163',b'24',b'chicago state university',"b'4138ps(child care ps center), 4134ps(hs collaboration with c'",b'child care',b'',b'yes',b'',b'',b'roseland'
22,0.91594620049,26,CPS_Early_Childhood_Portal_scrape.csv, Easter Seals Society of Metropolitan Chicago - Stepping Stones Early/Childhood Lear,1300 E 75th St ,,4930000,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'no',b'',b'',b'www.adasmckinley.org',b'',b'no',b'',"b'8-11 hours, varies by facility'",b'',b'1300 e 75th st',b'easter seals society of metropolitan chicago - stepping stones early/childhood lear',b'',b'dr. nelda jones',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'dr. jones',b'',b'',b'',b'',b'60619',b'4930000',b'26',b'ada s. mckinley community services',b'',b'community partnerships',"b'george jones, jr.'",b'yes',b'',b'',b'south shore'
23,0.759373774131,27,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - FOSCO ABLA Center,1312 S Racine Ave ,,7466024,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'no',b'',b'',b'www.henryboothhouse.org',b'',b'no',b'',b'half day/full day',b'',b'1312 s racine ave',b'marcy newberry association',b'',b'laparish woody',b'cps_early_childhood_portal_scrape.csv',b'',b'early head start',b'laparish woody',b'',b'',b'',b'',b'60636',b'7466024',b'28',b'henry booth house',b'',b'state pre-kindergarten',b'scott perkins',b'yes',b'',b'',b'west englewood'
23,0.759373774131,28,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - FOSCO ABLA Center,1312 S Racine Ave ,,7466024,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'no',b'',b'',b'www.henryboothhouse.org',b'',b'no',b'',b'half day/full day',b'',b'1312 s racine ave',b'marcy newberry association',b'',b'laparish woody',b'cps_early_childhood_portal_scrape.csv',b'',b'early head start',b'laparish woody',b'',b'',b'',b'',b'60636',b'7466024',b'28',b'henry booth house',b'',b'state pre-kindergarten',b'scott perkins',b'yes',b'',b'',b'west englewood'
24,0.834418743849,29,CPS_Early_Childhood_Portal_scrape.csv, Salvation Army - Incarnation / Salvation Army,1345 N Karlov Ave ,,2764118,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'no',b'',b'',b'',b'',b'no',b'',b'extended day',b'',b'1345 n karlov ave',b'salvation army - incarnation / salvation army',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'janet l. thomas',b'',b'',b'',b'',b'60651',b'2764118',b'29',b'marcy newberry association',"b'5753ip(ehs collaboration enhanced home ip), 5753it(ehs enhan'",b'child care',b'',b'no',b'',b'',b'humboldt park'
25,0.716053088506,30,CPS_Early_Childhood_Portal_scrape.csv, Abraham Lincoln Centre - Hope Presbyterian Church,1354 W 61st St ,,4715100,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'',b'',b'',b'',b'half day/full day',b'',b'1354 w 61st st',b'abraham lincoln centre - hope presbyterian church',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'child care',b'',b'',b'',b'',b'',b'60636',b'4715100',b'30',b'',b'',b'state pre-kindergarten',b'',b'',b'',b'',b''
722,0.760115861893,31,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Our Lady of Lourdes,1449 S Keeler Ave ,,5213126,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'',b'',b'',b'',b'half day/full day',b'',b'1449 s keeler ave',b'catholic charities of the archdiocese of chicago - our lady of lourdes',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'child care',b'',b'',b'',b'',b'',b'60623',b'5213126',b'32',b'',b'',b'state pre-kindergarten',b'',b'',b'',b'',b''
722,0.760115861893,32,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Our Lady of Lourdes,1449 S Keeler Ave ,,5213126,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'',b'',b'',b'',b'half day/full day',b'',b'1449 s keeler ave',b'catholic charities of the archdiocese of chicago - our lady of lourdes',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'child care',b'',b'',b'',b'',b'',b'60623',b'5213126',b'32',b'',b'',b'state pre-kindergarten',b'',b'',b'',b'',b''
26,0.804132640362,33,CPS_Early_Childhood_Portal_scrape.csv, Lutheran Social Services of Illinois - North Austin / LSSI,1500 N Mason Ave ,,2371930,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'1500 n mason ave',b'lutheran social services of illinois - north austin / lssi',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'child care',b'',b'',b'',b'',b'',b'60651',b'2371930',b'33',b'',b'',b'child care',b'',b'',b'',b'',b''
27,0.898825486501,34,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - New Birth,1500 W 69th St ,,4710699,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'no',b'',b'',b'www.usc.salvationarmy.com',b'',b'no',b'',b'extended day',b'',b'1500 w 69th st',b'marcy newberry association - new birth',b'',b'mitchelle redd',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'mitchelle redd',b'',b'',b'',b'',b'60621',b'4710699',b'34',b'salvation army',b'',b'child care',b'claudia rowland',b'yes',b'',b'',b'englewood'
211,0.705133110285,35,CPS_Early_Childhood_Portal_scrape.csv, Chicago Youth Centers - Mt. Moriah-Taylor / CYC,1501 N Harding Ave ,,2785837,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'1501 n harding ave',b'chicago youth centers - mt. moriah-taylor / cyc',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'child care',b'',b'',b'',b'',b'',b'60651',b'2785837',b'35',b'',b'',b'child care',b'',b'',b'',b'',b''
30,0.70990101248,36,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - Marcy Center,1539 S Springfield Ave ,,7612300,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'',b'',b'',b'',b'half day/full day',b'',b'1539 s springfield ave',b'marcy newberry association - marcy center',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'child care',b'',b'',b'',b'',b'',b'60623',b'7612300',b'37',b'',b'',b'state pre-kindergarten',b'',b'',b'',b'',b''
30,0.70990101248,37,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - Marcy Center,1539 S Springfield Ave ,,7612300,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'',b'',b'',b'',b'half day/full day',b'',b'1539 s springfield ave',b'marcy newberry association - marcy center',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'child care',b'',b'',b'',b'',b'',b'60623',b'7612300',b'37',b'',b'',b'state pre-kindergarten',b'',b'',b'',b'',b''
32,0.85881459713,38,CPS_Early_Childhood_Portal_scrape.csv, Mary Crane League - Mary Crane - Morse,1545 W Morse Ave ,,2621390,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'no',b'',b'',b'',b'',b'no',b'',b'extended day',b'',b'1545 w morse ave',b'mary crane league - mary crane - morse',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'child care',b'guadalupe herrera',b'',b'',b'',b'',b'60626',b'2621390',b'38',b'mary crane league',b'4270ps(hs collaboration with childcare & prek)',b'child care',b'',b'yes',b'',b'',b'rogers park'
33,0.90613026917,39,CPS_Early_Childhood_Portal_scrape.csv, South Shore Bible - Maranatha,1631 E 71st St ,,4937500,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'no',b'',b'',b'',b'',b'no',b'',b'extended day',b'',b'1631 e 71st st',b'salvation army south shore bible/maranatha head start',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'child care',b'jaqueline carter',b'',b'',b'',b'',b'60649',b'4937500',b'39',b'salvation army',b'4380ps(hs collaboration with childcare)',b'child care',b'',b'yes',b'',b'',b'south shore'
34,0.769921600819,40,CPS_Early_Childhood_Portal_scrape.csv, Chicago Commons Association - Taylor Center for New Experiences,1633 N Hamlin Ave ,,2278551,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'1633 n hamlin ave',b'chicago commons association - taylor center for new experiences',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'child care',b'',b'',b'',b'',b'',b'60647',b'2278551',b'40',b'',b'',b'head start',b'',b'',b'',b'',b''
36,0.824733495712,41,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Ebenezer,1652 W Foster Ave ,,8789925,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'1652 w foster ave',b'catholic charities of the archdiocese of chicago - ebenezer',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'child care',b'',b'',b'',b'',b'',b'60640',b'8789925',b'41',b'',b'',b'child care',b'',b'',b'',b'',b''
37,0.725787852492,42,CPS_Early_Childhood_Portal_scrape.csv, Chicago Commons Association - Paulo Freire,1653 W 43rd St ,,8262669,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'yes',b'',b'',b'www.chicagocommons.org',b'',b'no',b'',b'half day/full day',b'',b'1653 w 43rd st',b'chicago commons association - paulo freire',b'',b'nilda vargas',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'jenny seacat',b'',b'',b'',b'',b'60609',b'8262669',b'42',b'chicago commons association',"b'2626it(child care it center), 3402ps(hs collaboration with c'",b'child care',b'dan valliere',b'yes',b'',b'new city',b'new city'
38,0.759517659744,43,CPS_Early_Childhood_Portal_scrape.csv, Erie Neighborhood House - Erie Community Center,1701 W Superior St ,,5635800,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'no',b'',b'',b'',b'',b'no',b'',b'half day/full day',b'',b'1701 w superior st',b'erie neighborhood house',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'child care',b'jolene martin',b'',b'',b'',b'',b'60644',b'5635800',b'43',b'carole robertson center for learning',"b'6101ps(hs collaboration with childcare homes), 6101ip(ehs co'",b'state pre-kindergarten',b'',b'no',b'',b'',b'austin'
