Cluster ID,confidence_score,Id,Source,Site name,Address,Zip,Phone,Fax,Program Name,Length of Day,IDHS Provider ID,Agency,Neighborhood,Funded Enrollment,Program Option,Number per Site EHS,Number per Site HS,Director,Head Start Fund,Eearly Head Start Fund,CC fund,Progmod,Website,Executive Director,Center Director,ECE Available Programs,NAEYC Valid Until,NAEYC Program Id,Email Address,Ounce of Prevention Description,Purple binder service type,Column,Column2,canonical_Executive Director,canonical_Id,canonical_Phone,canonical_Center Director,canonical_Zip,canonical_IDHS Provider ID,canonical_Agency,canonical_Progmod,canonical_Eearly Head Start Fund,canonical_Director,canonical_CC fund,canonical_Number per Site HS,canonical_Program Name,canonical_Site name,canonical_Website,canonical_ECE Available Programs,canonical_Funded Enrollment,canonical_Column,canonical_Number per Site EHS,canonical_Email Address,canonical_NAEYC Valid Until,canonical_Purple binder service type,canonical_Ounce of Prevention Description,canonical_Program Option,canonical_Head Start Fund,canonical_Column2,canonical_Fax,canonical_Length of Day,canonical_Source,canonical_Neighborhood,canonical_Address,canonical_NAEYC Program Id
6,0.78614628315,10,CPS_Early_Childhood_Portal_scrape.csv, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'478',b'9068600',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'child care',b'hull house association - child dev. central office- hull house cds-homes',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'cps_early_childhood_portal_scrape.csv',b'',b'1030 w van buren st',b''
7,0.78614628315,11,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - St. Kevin,10509 S Torrence Ave ,,3746466,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'12',b'3746466',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'child care',b'catholic charities of the archdiocese of chicago - st. kevin',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'cps_early_childhood_portal_scrape.csv',b'',b'10509 s torrence ave',b''
7,0.78614628315,12,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - St. Kevin,10509 S Torrence Ave ,,3746466,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'12',b'3746466',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'child care',b'catholic charities of the archdiocese of chicago - st. kevin',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'cps_early_childhood_portal_scrape.csv',b'',b'10509 s torrence ave',b''
808,,13,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Community Learning Center,10612 S Wentworth ,,,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.78614628315,14,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Cordia Marian,1100 S May St ,,6663787,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'1231',b'6663787',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'child care',b'catholic charities of the archdiocese of chicago - cordia marian',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'cps_early_childhood_portal_scrape.csv',b'',b'1100 s may st',b''
8,0.78614628315,15,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Cordia Marian,1100 S May St ,,6663787,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'1231',b'6663787',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'child care',b'catholic charities of the archdiocese of chicago - cordia marian',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'cps_early_childhood_portal_scrape.csv',b'',b'1100 s may st',b''
10,0.465492010117,16,CPS_Early_Childhood_Portal_scrape.csv, Thresholds - Thresholds Mothers' Project,1110 W Belmont Ave ,,4723558,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'16',b'4723558',b'',b'60657',b'',b'',b'',b'',b'',b'',b'',b'child care',"b""thresholds - thresholds mothers' project""",b'',b'cp',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'cps_early_childhood_portal_scrape.csv',b'lake view',b'1110 w belmont ave',b''
11,0.78614628315,17,CPS_Early_Childhood_Portal_scrape.csv, Bethel New Life - Molade Child Development Center,1120 N Lamon Ave ,,6267760,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'1233',b'6267760',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'state pre-kindergarten',b'bethel new life - molade child development center',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'half day/full day',b'cps_early_childhood_portal_scrape.csv',b'',b'1120 n lamon ave',b''
12,0.78614628315,18,CPS_Early_Childhood_Portal_scrape.csv, South East Asia Center - South-East Asia Center(Ainslie),1124 W Ainslie St ,,9897433,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'18',b'9897433',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'state pre-kindergarten',b'south east asia center - south-east asia center(ainslie)',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'part day/full day',b'cps_early_childhood_portal_scrape.csv',b'',b'1124 w ainslie st',b''
13,0.788674451411,19,CPS_Early_Childhood_Portal_scrape.csv, Ada S. McKinley Community Services - McKinley - Roseland,11410 S Edbrooke Ave ,,4681918,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'7021ps(hs collaboration with childcare)',b'19',b'4681918',b'www.adasmckinley.org',b'60628',b'',b'',b'no',b'anna luna',b'',b'yes',b'',b'state pre-kindergarten',b'ada s. mckinley community services - mckinley - roseland',b'no',"b'george jones, jr.'",b'ada s. mckinley community services',b'',b'',b'',b'anna luna',b'',b'',b'roseland',b'',b'child care',b'',b'half day/full day',b'cps_early_childhood_portal_scrape.csv',b'',b'11410 s edbrooke ave',b''
13,0.788674451411,20,CPS_Early_Childhood_Portal_scrape.csv, Ada S. McKinley Community Services - McKinley - Roseland,11410 S Edbrooke Ave ,,4681918,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'7021ps(hs collaboration with childcare)',b'19',b'4681918',b'www.adasmckinley.org',b'60628',b'',b'',b'no',b'anna luna',b'',b'yes',b'',b'state pre-kindergarten',b'ada s. mckinley community services - mckinley - roseland',b'no',"b'george jones, jr.'",b'ada s. mckinley community services',b'',b'',b'',b'anna luna',b'',b'',b'roseland',b'',b'child care',b'',b'half day/full day',b'cps_early_childhood_portal_scrape.csv',b'',b'11410 s edbrooke ave',b''
14,0.639981746674,21,CPS_Early_Childhood_Portal_scrape.csv, Board Trustees-City Colleges of Chicago - Truman,1145 W Wilson Ave ,,8781700,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,"b'7099ps(hs collaboration with childcare & prek), 4386ps(child'",b'21',b'8781700',b'www.ccc.edu',b'60640',b'',b'',b'no',b'judi gibian-mennenga',b'',b'yes',b'',b'child care',b'board trustees-city colleges of chicago - truman',b'no',b'phyllis daniels-ward',b'board trustees-city colleges of chicago',b'',b'',b'',b'dexter smith',b'',b'',b'uptown',b'',b'',b'',b'extended day',b'cps_early_childhood_portal_scrape.csv',b'',b'1145 w wilson ave',b''
15,0.78614628315,22,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Gingerbread House,11640 S Wentworth Ave ,,9284041,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'23',b'9284041',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'child care',b'chicago state university - gingerbread house',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'cps_early_childhood_portal_scrape.csv',b'',b'11640 s wentworth ave',b''
15,0.78614628315,23,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Gingerbread House,11640 S Wentworth Ave ,,9284041,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'23',b'9284041',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'child care',b'chicago state university - gingerbread house',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'cps_early_childhood_portal_scrape.csv',b'',b'11640 s wentworth ave',b''
16,0.78614628315,24,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Academy of Early Education,124 E 113th St ,,7858163,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'24',b'7858163',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'child care',b'chicago state university - academy of early education',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'cps_early_childhood_portal_scrape.csv',b'',b'124 e 113th st',b''
16,0.78614628315,25,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Academy of Early Education,124 E 113th St ,,7858163,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'24',b'7858163',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'child care',b'chicago state university - academy of early education',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'cps_early_childhood_portal_scrape.csv',b'',b'124 e 113th st',b''
17,0.786146,26,CPS_Early_Childhood_Portal_scrape.csv, Easter Seals Society of Metropolitan Chicago - Stepping Stones Early/Childhood Lear,1300 E 75th St ,,4930000,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'26',b'4930000',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'child care',b'easter seals society of metropolitan chicago - stepping stones early/childhood lear',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'cps_early_childhood_portal_scrape.csv',b'',b'1300 e 75th st',b''
18,0.78614628315,27,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - FOSCO ABLA Center,1312 S Racine Ave ,,7466024,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'28',b'7466024',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'state pre-kindergarten',b'marcy newberry association - fosco abla center',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'half day/full day',b'cps_early_childhood_portal_scrape.csv',b'',b'1312 s racine ave',b''
18,0.78614628315,28,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - FOSCO ABLA Center,1312 S Racine Ave ,,7466024,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'28',b'7466024',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'state pre-kindergarten',b'marcy newberry association - fosco abla center',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'half day/full day',b'cps_early_childhood_portal_scrape.csv',b'',b'1312 s racine ave',b''
19,0.797385950883,29,CPS_Early_Childhood_Portal_scrape.csv, Salvation Army - Incarnation / Salvation Army,1345 N Karlov Ave ,,2764118,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'29',b'2764118',b'www.usc.salvationarmy.com',b'60651',b'',b'',b'no',b'zoraida fernandini',b'',b'yes',b'',b'child care',b'salvation army - incarnation / salvation army',b'no',b'claudia rowland',b'salvation army',b'',b'',b'',b'zoraida fernandini',b'',b'',b'humboldt park',b'',b'',b'',b'extended day',b'cps_early_childhood_portal_scrape.csv',b'',b'1345 n karlov',b''
20,0.78614628315,30,CPS_Early_Childhood_Portal_scrape.csv, Abraham Lincoln Centre - Hope Presbyterian Church,1354 W 61st St ,,4715100,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'30',b'4715100',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'state pre-kindergarten',b'abraham lincoln centre - hope presbyterian church',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'half day/full day',b'cps_early_childhood_portal_scrape.csv',b'',b'1354 w 61st st',b''
21,0.791759090764,31,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Our Lady of Lourdes,1449 S Keeler Ave ,,5213126,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,"b'2488it(child care it center), 7030ps(hs collaboration with c'",b'32',b'5213126',b'www.catholiccharities.net',b'60623',b'',b'',b'no',"b""deborah o'brien""",b'',b'yes',b'',b'state pre-kindergarten',b'catholic charities of the archdiocese of chicago - our lady of lourdes',b'yes',b'laura rios',b'catholic charities of the archdiocese of chicago',b'',b'',b'',"b""deborah o'brien""",b'',b'',b'north lawndale',b'',b'',b'',b'half day/full day',b'cps_early_childhood_portal_scrape.csv',b'',b'1449 s keeler',b''
21,0.791759090764,32,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Our Lady of Lourdes,1449 S Keeler Ave ,,5213126,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,"b'2488it(child care it center), 7030ps(hs collaboration with c'",b'32',b'5213126',b'www.catholiccharities.net',b'60623',b'',b'',b'no',"b""deborah o'brien""",b'',b'yes',b'',b'state pre-kindergarten',b'catholic charities of the archdiocese of chicago - our lady of lourdes',b'yes',b'laura rios',b'catholic charities of the archdiocese of chicago',b'',b'',b'',"b""deborah o'brien""",b'',b'',b'north lawndale',b'',b'',b'',b'half day/full day',b'cps_early_childhood_portal_scrape.csv',b'',b'1449 s keeler',b''
22,0.786146,33,CPS_Early_Childhood_Portal_scrape.csv, Lutheran Social Services of Illinois - North Austin / LSSI,1500 N Mason Ave ,,2371930,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'33',b'2371930',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'child care',b'lutheran social services of illinois - north austin / lssi',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'cps_early_childhood_portal_scrape.csv',b'',b'1500 n mason ave',b''
23,0.786146,34,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - New Birth,1500 W 69th St ,,4710699,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'34',b'4710699',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'child care',b'marcy newberry association - new birth',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'cps_early_childhood_portal_scrape.csv',b'',b'1500 w 69th st',b''
24,0.795083045959,35,CPS_Early_Childhood_Portal_scrape.csv, Chicago Youth Centers - Mt. Moriah-Taylor / CYC,1501 N Harding Ave ,,2785837,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'7065ps(hs collaboration with childcare & prek)',b'35',b'2785837',b'www.chicagoyouthcenters.org',b'60651',b'',b'',b'no',b'elizabeth heilbronn',b'',b'yes',b'',b'child care',b'chicago youth centers - mt. moriah-taylor',b'no',b'harry wells',b'chicago youth centers',b'',b'',b'',b'elizabeth heilbronn',b'',b'',b'humboldt park',b'',b'child care',b'',b'extended day',b'cps_early_childhood_portal_scrape.csv',b'',b'1501 n harding',b''
25,0.769505131245,36,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - Marcy Center,1539 S Springfield Ave ,,7612300,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,"b'2751it(child care it center), 7135ps(hs collaboration with c'",b'37',b'7612300',b'www.marcy-newberry.org',b'60623',b'',b'',b'no',b'barbara tucker',b'',b'yes',b'',b'state pre-kindergarten',b'marcy newberry association - marcy center',b'yes',b'gertrude ricks',b'marcy newberry association',b'',b'',b'',b'barbara tucker',b'',b'',b'north lawndale',b'',b'child care',b'',b'half day/full day',b'cps_early_childhood_portal_scrape.csv',b'',b'1539 s springfield ave',b''
25,0.769505131245,37,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - Marcy Center,1539 S Springfield Ave ,,7612300,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,"b'2751it(child care it center), 7135ps(hs collaboration with c'",b'37',b'7612300',b'www.marcy-newberry.org',b'60623',b'',b'',b'no',b'barbara tucker',b'',b'yes',b'',b'state pre-kindergarten',b'marcy newberry association - marcy center',b'yes',b'gertrude ricks',b'marcy newberry association',b'',b'',b'',b'barbara tucker',b'',b'',b'north lawndale',b'',b'child care',b'',b'half day/full day',b'cps_early_childhood_portal_scrape.csv',b'',b'1539 s springfield ave',b''
26,0.786146,38,CPS_Early_Childhood_Portal_scrape.csv, Mary Crane League - Mary Crane - Morse,1545 W Morse Ave ,,2621390,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'38',b'2621390',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'child care',b'mary crane league - mary crane - morse',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'cps_early_childhood_portal_scrape.csv',b'',b'1545 w morse ave',b''
27,0.786146,39,CPS_Early_Childhood_Portal_scrape.csv, South Shore Bible - Maranatha,1631 E 71st St ,,4937500,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'39',b'4937500',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'child care',b'south shore bible - maranatha',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'cps_early_childhood_portal_scrape.csv',b'',b'1631 e 71st st',b''
28,0.797543088595,40,CPS_Early_Childhood_Portal_scrape.csv, Chicago Commons Association - Taylor Center for New Experiences,1633 N Hamlin Ave ,,2278551,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,"b'2629it(child care it center), 3401ps(hs collaboration with c'",b'1959',b'2278551',b'www.chicagocommons.org',b'60647',b'',b'',b'no',b'nilda vargas',b'',b'yes',b'',b'head start',b'chicago commons association - taylor center for new experiences',b'yes',b'dan valliere',b'chicago commons association',b'',b'',b'',b'vanessa powell',b'',b'',b'humboldt park',b'',b'',b'',b'extended day',b'cps_early_childhood_portal_scrape.csv',b'',b'1633 n hamlin',b''
29,0.786146,41,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Ebenezer,1652 W Foster Ave ,,8789925,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'41',b'8789925',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'child care',b'catholic charities of the archdiocese of chicago - ebenezer',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'cps_early_childhood_portal_scrape.csv',b'',b'1652 w foster ave',b''
31,0.78614628315,42,CPS_Early_Childhood_Portal_scrape.csv, Chicago Commons Association - Paulo Freire,1653 W 43rd St ,,8262669,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'42',b'8262669',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'state pre-kindergarten',b'chicago commons association - paulo freire',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'half day/full day',b'cps_early_childhood_portal_scrape.csv',b'',b'1653 w 43rd st',b''
32,0.791672279437,43,CPS_Early_Childhood_Portal_scrape.csv, Erie Neighborhood House - Erie Community Center,1701 W Superior St ,,5635800,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,"b'2640it(child care it center), 3256ps(hs collaboration with c'",b'43',b'5635800',b'www.eriehouse.org',b'60622',b'',b'',b'no',b'celena roldan',b'',b'yes',b'',b'state pre-kindergarten',b'erie neighborhood house - erie community center',b'no',b'celena roldan',b'erie neighborhood house',b'',b'',b'',b'celena roldan',b'',b'',b'west town',b'',b'',b'',b'half day/full day',b'cps_early_childhood_portal_scrape.csv',b'',b'1701 w superior',b''
33,0.749236702919,44,CPS_Early_Childhood_Portal_scrape.csv, El Valor - Little Tykes I,1711 W 35th St ,,2547700,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'44',b'2547700',b'www.elvalor.org',b'60609',b'',b'',b'no',b'sara matta',b'',b'yes',b'',b'child care',b'el valor - little tykes i',b'no',b'vincent allocco',b'el valor',b'',b'',b'',b'sara matta',b'',b'',b'mckinley park',b'',b'',b'',b'extended day',b'cps_early_childhood_portal_scrape.csv',b'',b'1711 w 35th st',b''
